id;origtext;enabled;is_default;default_terms_id;Group Value
4967;SQL;1;1;0;Programming Languages
4968;.NET;1;1;0;Libraries, Frameworks & Software Standards
4969;MS SQL Server;1;1;0;Database & Business Intelligence
4970;C#;1;1;0;Programming Languages
4971;Java;1;1;0;Programming Languages
4976;JavaScript;1;1;0;Programming Languages
4978;HTML;1;1;0;Libraries, Frameworks & Software Standards
4979;CSS;1;1;0;Libraries, Frameworks & Software Standards
4980;Linux;1;1;0;Operating Systems
4981;ASP.NET;1;1;0;Libraries, Frameworks & Software Standards
4983;MS Excel;1;1;0;Applications
4984;XML;1;1;0;Libraries, Frameworks & Software Standards
4986;UNIX;1;1;0;Operating Systems
4990;C++;1;1;0;Programming Languages
4994;ITIL;1;1;0;Processes & Methodologies
4996;PHP;1;1;0;Programming Languages
4997;Cisco;1;1;0;Vendors
4999;VMware;1;1;0;Vendors
5000;MySQL;1;1;0;Database & Business Intelligence
5002;jQuery;1;1;0;Libraries, Frameworks & Software Standards
5003;Active Directory;1;1;0;System Software
5009;J2EE;1;1;0;Libraries, Frameworks & Software Standards
5011;MVC;1;1;0;Processes & Methodologies
5013;Ajax;1;1;0;Libraries, Frameworks & Software Standards
5018;SharePoint;1;1;0;Application Platforms
5019;TDD;1;1;0;Processes & Methodologies
5020;Spring;1;1;0;Libraries, Frameworks & Software Standards
5023;Windows Server 2008;1;1;0;Operating Systems
5029;MS Office;1;1;0;Applications
5030;Windows Server 2003;1;1;0;Operating Systems
5032;C;1;1;0;Programming Languages
5035;VB.NET;1;1;0;Programming Languages
5036;WCF;1;1;0;Libraries, Frameworks & Software Standards
5037;TCP/IP;1;1;0;Communications & Networking
5038;MS Exchange;1;1;0;Application Platforms
5039;T-SQL;1;1;0;Programming Languages
5043;Apache;1;1;0;Application Platforms
5047;Perl;1;1;0;Programming Languages
5048;UML;1;1;0;Processes & Methodologies
5050;Citrix;1;1;0;Vendors
5051;Visual Studio;1;1;0;Development Applications
5057;SAN;1;1;0;Communications & Networking
5058;Python;1;1;0;Programming Languages
5059;Hibernate;1;1;0;Libraries, Frameworks & Software Standards
5060;Subversion;1;1;0;Development Applications
5061;XHTML;1;1;0;Libraries, Frameworks & Software Standards
5064;WPF;1;1;0;Libraries, Frameworks & Software Standards
5066;MS Visio;1;1;0;Applications
5067;VB;1;1;0;Programming Languages
5071;CMS;1;0;0;Application Platforms
5072;IIS;1;0;0;Application Platforms
5073;WAN;1;1;0;Communications & Networking
5076;DNS;1;1;0;Communications & Networking
5085;ETL;1;1;0;Processes & Methodologies
5086;SLA;0;0;0;Quality Assurance & Compliance
5087;Windows XP;1;1;0;Operating Systems
5089;SOA;1;1;0;Processes & Methodologies
5090;PL/SQL;1;1;0;Programming Languages
5093;Tomcat;1;1;0;Application Platforms
5097;ISEB;1;0;0;Qualifications
5098;WinForms;1;1;0;Libraries, Frameworks & Software Standards
5099;HTML5;1;1;0;Libraries, Frameworks & Software Standards
5100;ASP.NET MVC;1;1;0;Libraries, Frameworks & Software Standards
5102;OOP;1;1;0;Processes & Methodologies
5106;XSLT;1;1;0;Libraries, Frameworks & Software Standards
5112;Solaris;1;1;0;Operating Systems
5113;VPN;1;1;0;Communications & Networking
5116;CCNA;1;1;0;Qualifications
5117;Flash;1;1;0;Libraries, Frameworks & Software Standards
5118;RDBMS;1;1;0;Database & Business Intelligence
5119;JSP;1;1;0;Libraries, Frameworks & Software Standards
5124;SOAP;1;1;0;Libraries, Frameworks & Software Standards
5125;Android;1;1;0;Operating Systems
5126;LINQ;1;1;0;Libraries, Frameworks & Software Standards
5127;Red Hat;1;1;0;Vendors
5131;Shell Script;1;1;0;Programming Languages
5135;WebSphere;1;1;0;Application Platforms
